Label,Points,Hits
Pele Soccer,"[[705, 825], [731, 966], [841, 930], [816, 801]]",426
Express,"[[1179, 764], [1189, 872], [1285, 843], [1274, 765]]",463
Gifts + Luggage,"[[1487, 659], [1488, 743], [1721, 751], [1712, 641]]",939
Disney,"[[1863, 643], [1877, 713], [1950, 698], [1934, 624]]",539
Forever 21,"[[2053, 607], [2070, 687], [2164, 668], [2137, 590]]",314
Sunglass Hut,"[[2198, 582], [2195, 650], [2252, 639], [2234, 568]]",227
McDonalds,"[[2278, 535], [2286, 587], [2401, 582], [2388, 535]]",216
Old Navy,"[[2437, 493], [2446, 551], [2505, 535], [2493, 479]]",141
George M. Cohan Statue,"[[873, 1231], [1088, 1356], [1275, 1283], [1037, 1157]]",450
Coffeed & Sweet Churros,"[[2271, 766], [2278, 902], [2444, 898], [2441, 767]]",711
